,OBJECTID,DISTRICT,DISTRICTN,Shape__Area,Shape__Length,district,name,party,town,title,county,first,last
158,7.0,7,7.0,3169380148.4812,247492.827155116,7,Nicole C. Grohoski,D,,Sen,Hancock,Nicole,Grohoski
159,8.0,8,8.0,2796695390.44824,366926.595584937,8,Michael Tipping,D,,Sen,Penobscot,Michael,Tipping
160,9.0,9,9.0,184786953.100098,61940.3873523863,9,Joseph M. Baldacci,D,,Sen,Penobscot,Joseph,Baldacci
161,10.0,10,10.0,1099948558.1394,196697.13806009,10,Peter A. Lyford,R,,Sen,Penobscot,Peter,Lyford
162,11.0,11,11.0,2206880851.0061,249674.795892283,11,"Glenn ""Chip"" Curry",D,,Sen,Waldo,Glenn,Curry
163,12.0,12,12.0,2504363292.19141,314864.853651155,12,Pinny H. Beebe-Center,D,,Sen,Center (D,Pinny,Beebe-Center
164,13.0,13,13.0,1918038304.1947,260676.579690475,13,Cameron D. Reny,D,,Sen,Lincoln,Cameron,Reny
165,14.0,14,14.0,706746377.671143,145482.353533511,14,Craig V. Hickman,D,,Sen,Kennebec,Craig,Hickman
166,15.0,15,15.0,801200968.472412,174544.830196037,15,Matthew G. Pouliot,R,,Sen,Kennebec,Matthew,Pouliot
167,16.0,16,16.0,452741742.030884,126537.988574702,16,David P. LaFountain,D,,Sen,Kennebec,David,LaFountain
168,17.0,17,17.0,879705298.979858,212004.495693143,17,Jeffrey L. Timberlake,R,,Sen,Androscoggin,Jeffrey,Timberlake
169,18.0,18,18.0,1509004666.1239,217564.850511499,18,Richard A. Bennett,R,,Sen,Oxford,Richard,Bennett
170,19.0,19,19.0,7288481780.01099,583781.61882584,19,Lisa M. Keim,R,,Sen,Oxford,Lisa,Keim
171,20.0,20,20.0,517136421.192871,140563.076000357,20,Eric L. Brakey,R,,Sen,Androscoggin,Eric,Brakey
172,21.0,21,21.0,91980834.7924805,43503.3483522571,21,"Margaret ""Peggy"" R. Rotundo",D,,Sen,Androscoggin,Margaret,Rotundo
173,22.0,22,22.0,1409531192.3717,243401.88920862,22,James D. Libby,R,,Sen,Cumberland,James,Libby
174,23.0,23,23.0,752421806.103149,146041.109411936,23,Matthea E.L. Daughtry,D,,Sen,Cumberland,Matthea,Daughtry
175,24.0,24,24.0,1043674822.64075,194575.227266002,24,Eloise A. Vitelli,D,,Sen,Sagadahoc,Eloise,Vitelli
176,25.0,25,25.0,387584765.193481,114680.564062182,25,Theresa S. Pierce,D,,Sen,Cumberland,Theresa,Pierce
177,26.0,26,26.0,376979568.125977,165234.738449816,26,Timothy E. Nangle,D,,Sen,Cumberland,Timothy,Nangle
178,27.0,27,27.0,49318064.3018799,53064.9088906375,27,Jill C. Duson,D,,Sen,Cumberland,Jill,Duson
179,28.0,28,28.0,203438860.175903,89514.8754241273,28,Benjamin M. Chipman,D,,Sen,Cumberland,Benjamin,Chipman
180,29.0,29,29.0,216727227.844727,78378.5641359153,29,Anne M. Carney,D,,Sen,Cumberland,Anne,Carney
181,30.0,30,30.0,253923458.381714,94873.8852663997,30,Stacy F. Brenner,D,,Sen,Cumberland,Stacy,Brenner
182,31.0,31,31.0,301662995.690186,108486.198576856,31,Donna Bailey,D,,Sen,York,Donna,Bailey
183,32.0,32,32.0,452652447.938843,160426.343472199,32,Henry L. Ingwersen,D,,Sen,York,Henry,Ingwersen
184,33.0,33,33.0,491062950.234497,153499.243431,33,Matthew A. Harrington,R,,Sen,York,Matthew,Harrington
185,34.0,34,34.0,629010667.724121,167666.247501085,34,Joseph E. Rafferty,D,,Sen,York,Joseph,Rafferty
186,35.0,35,35.0,715078387.066528,153268.359184112,35,Mark W. Lawrence,D,,Sen,York,Mark,Lawrence
